#
# NREL S814 Airfoil for wind turbine section
#
  1.000000  0.000000
  0.996277  0.001079
  0.985681  0.004644
  0.969429  0.010691
  0.948574  0.018525
  0.923625  0.027157
  0.894505  0.035738
  0.860850  0.044178
  0.823023  0.052748
  0.781586  0.061424
  0.737130  0.070108
  0.690273  0.078659
  0.641651  0.086901
  0.591910  0.094633
  0.541692  0.101631
  0.491625  0.107648
  0.442317  0.112418
  0.394345  0.115645
  0.348257  0.116962
  0.304384  0.115627
  0.261983  0.111612
  0.221337  0.105629
  0.182903  0.097997
  0.147112  0.088966
  0.114367  0.078763
  0.085039  0.067619
  0.059481  0.055766
  0.038007  0.043458
  0.020952  0.030954
  0.008577  0.018556
  0.001431  0.006672
  0.001119  0.005797
  0.000338  0.002959
  0.000002  0.000223
  0.000245 -0.002549
  0.000678 -0.004584
  0.000925 -0.005491
  0.006381 -0.017430
  0.016792 -0.031576
  0.031367 -0.046492
  0.049641 -0.061655
  0.071240 -0.076713
  0.095610 -0.091093
  0.122438 -0.104309
  0.151203 -0.115726
  0.181669 -0.124578
  0.213672 -0.130235
  0.247139 -0.131310
  0.283942 -0.127757
  0.323782 -0.120293
  0.367326 -0.109093
  0.414593 -0.095249
  0.465255 -0.079660
  0.518814 -0.063236
  0.574574 -0.046894
  0.631638 -0.031520
  0.688908 -0.017904
  0.745125 -0.006688
  0.798908  0.001698
  0.848830  0.007070
  0.893492  0.009517
  0.931609  0.009395
  0.962086  0.007279
  0.983819  0.003889
  0.996132  0.001014
  1.000000  0.000000
